t=9 s=2 time=0.000378
t=10 s=10 time=0.000371
t=10 s=8 time=0.000328
t=10 s=3 time=0.00033
t=10 s=2 time=0.000303
t=11 s=11 time=0.0003
t=11 s=9 time=0.000296
t=11 s=4 time=0.000316
t=11 s=3 time=0.000291
t=11 s=2 time=0.000295
t=12 s=12 time=0.000253
t=12 s=10 time=0.00032
t=12 s=3 time=0.000296
t=13 s=13 time=0.00027
t=13 s=11 time=0.00027
t=13 s=4 time=0.000277
t=14 s=14 time=0.000363
t=14 s=12 time=0.000384
t=14 s=5 time=0.000427
t=14 s=3 time=0.00046
t=15 s=15 time=0.000385
