t=52 s=9 time=0.000845
t=52 s=8 time=0.000827
t=52 s=7 time=0.001087
t=52 s=6 time=0.001786
t=52 s=4 time=0.001905
t=52 s=3 time=0.001722
t=53 s=53 time=0.000445
t=53 s=49 time=0.000411
t=53 s=18 time=0.000691
t=53 s=16 time=0.000725
t=53 s=7 time=0.001521
t=53 s=5 time=0.001895
t=53 s=4 time=0.002441
t=54 s=54 time=0.000416
t=54 s=50 time=0.000385
t=54 s=19 time=0.000706
t=54 s=17 time=0.000701
t=54 s=16 time=0.000739
t=54 s=15 time=0.000697
t=54 s=14 time=0.000697
t=54 s=13 time=0.000743
t=54 s=12 time=0.000841
t=54 s=11 time=0.000714
t=54 s=10 time=0.000999
t=54 s=9 time=0.000844
t=54 s=8 time=0.001247
t=54 s=7 time=0.001777
t=54 s=6 time=0.002033
t=54 s=5 time=0.00285
t=54 s=4 time=0.002885
t=55 s=55 time=0.000493
t=55 s=51 time=0.000468
t=55 s=17 time=0.000754
t=55 s=16 time=0.000765
t=55 s=10 time=0.000829
t=55 s=9 time=0.000824
t=55 s=8 time=0.001356
t=55 s=7 time=0.001725
t=55 s=6 time=0.002391
[38;2;000;128;000mTime: 0.228638s (2025-09-28 16:28:08)
[0mt=0 s=0 time=9.5e-05
t=1 s=1 time=0.000314
t=2 s=2 time=0.000285
t=2 s=1 time=0.000274
t=3 s=3 time=0.000308
t=4 s=4 time=0.000298
t=4 s=2 time=0.000264
t=5 s=5 time=0.000267
t=6 s=6 time=0.000271
t=6 s=1 time=0.000284
t=7 s=7 time=0.000293
t=7 s=3 time=0.000423
t=8 s=8 time=0.000402
t=8 s=4 time=0.000369
t=8 s=2 time=0.00032
t=8 s=1 time=0.000289
t=9 s=9 time=0.000392
t=9 s=5 time=0.000411
t=9 s=2 time=0.000363
t=10 s=10 time=0.000286
t=10 s=6 time=0.000375
t=10 s=3 time=0.000455
t=10 s=2 time=0.000397
t=11 s=11 time=0.000423
t=11 s=7 time=0.000402
t=11 s=4 time=0.000381
t=11 s=3 time=0.00037
t=12 s=12 time=0.000361
t=12 s=8 time=0.000386
t=12 s=1 time=0.000348
t=13 s=13 time=0.000447
t=13 s=9 time=0.000486
t=13 s=4 time=0.000388
t=13 s=2 time=0.000361
t=14 s=14 time=0.000433
t=14 s=10 time=0.000443
t=14 s=5 time=0.000399
t=14 s=3 time=0.000362
t=14 s=2 time=0.000311
t=15 s=15 time=0.000461
t=15 s=11 time=0.000431
t=15 s=4 time=0.000402
t=15 s=3 time=0.000361
t=16 s=16 time=0.000288
t=16 s=12 time=0.000367
t=16 s=6 time=0.000478
t=16 s=5 time=0.000376
t=16 s=3 time=0.000313
t=16 s=2 time=0.000288
t=16 s=1 time=0.000356
t=17 s=17 time=0.000417
t=17 s=13 time=0.00035
t=17 s=6 time=0.000315
t=17 s=4 time=0.000329
t=17 s=3 time=0.000434
t=17 s=2 time=0.000457
t=18 s=18 time=0.000384
t=18 s=14 time=0.000416
t=18 s=7 time=0.000423
t=18 s=5 time=0.000354
t=18 s=4 time=0.000368
t=18 s=3 time=0.000301
t=18 s=2 time=0.000286
t=19 s=19 time=0.000264
t=19 s=15 time=0.000282
t=19 s=5 time=0.000368
t=19 s=4 time=0.000352
t=20 s=20 time=0.000262
t=20 s=16 time=0.000275
t=20 s=6 time=0.000345
t=20 s=5 time=0.000402
t=20 s=3 time=0.000352
t=20 s=2 time=0.000312
t=21 s=21 time=0.000261
t=21 s=17 time=0.000266
t=21 s=6 time=0.000406
t=21 s=4 time=0.000343
t=21 s=3 time=0.00041
t=22 s=22 time=0.000411
t=22 s=18 time=0.000402
t=22 s=7 time=0.000521
t=22 s=6 time=0.000415
t=22 s=4 time=0.000413
t=22 s=3 time=0.000471
t=22 s=2 time=0.00041
t=23 s=23 time=0.000266
t=23 s=19 time=0.000268
t=23 s=8 time=0.000418
t=23 s=7 time=0.0004
t=23 s=5 time=0.000376
t=23 s=4 time=0.000395
t=24 s=24 time=0.000294
t=24 s=20 time=0.000285
t=24 s=5 time=0.000476
t=24 s=4 time=0.000376
t=24 s=3 time=0.000345
t=25 s=25 time=0.000274
t=25 s=21 time=0.000275
t=25 s=8 time=0.000479
t=25 s=6 time=0.000394
t=25 s=3 time=0.000391
t=26 s=26 time=0.000359
t=26 s=22 time=0.00041
t=26 s=9 time=0.000484
t=26 s=7 time=0.000389
t=26 s=6 time=0.000399
t=26 s=4 time=0.000387
t=27 s=27 time=0.000362
